congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
107,President,99910,99,0,USA,200,0,0,"BUSH, George Walker",,1946,,0.693,-0.539,-17.05834,0.866,119,9,,,
107,House,15090,41,1,AL,200,0,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,2021.0,0.373,0.202,-60.44528,0.903,594,22,,0.354,0.132
107,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-176.67485,0.765,660,71,,-0.083,0.464
107,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-79.894,0.883,645,33,,0.467,0.53
107,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-75.17126,0.889,640,24,,0.368,0.137
107,House,29302,41,7,AL,100,0,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-214.38777,0.722,658,88,,-0.524,0.645
107,House,29700,41,3,AL,200,0,1,"RILEY, Robert",R000258,1944,,0.433,0.692,-62.74879,0.887,525,20,,0.421,0.525
107,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.469,-206.19514,0.73133,659,85,,0.407,0.828
107,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-90.87787,0.85167,566,29,,0.383,0.215
107,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-97.19733,0.845,577,39,,0.525,0.314
107,House,15105,61,5,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-143.97969,0.808,674,67,,0.36,-0.621
107,House,20100,61,1,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-175.21063,0.77138,675,77,,0.958,-0.286
107,House,29101,61,2,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-183.23454,0.763,678,71,,-0.389,-0.01
107,House,29501,61,4,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-113.27663,0.846,675,42,,0.693,-0.074
107,House,29502,61,6,AZ,200,0,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-80.75445,0.888,679,37,,0.563,0.064
107,House,20101,42,3,AR,200,2,2,"BOOZMAN, John",B001236,1950,,0.427,0.338,-37.5585,0.90421,373,15,,0.367,0.168
107,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-181.34307,0.766,680,61,,-0.192,0.51
107,House,29702,42,1,AR,100,0,1,"BERRY, Robert Marion",B000420,1942,2023.0,-0.293,0.956,-260.11415,0.683,681,139,,-0.248,0.936
107,House,29703,42,2,AR,100,0,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-183.03607,0.757,658,82,,-0.233,0.018
107,House,29704,42,3,AR,200,1,1,"HUTCHINSON, Asa",H001014,1950,,0.358,0.133,-28.71661,0.857,186,10,,0.371,-0.151
107,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-141.92245,0.789,600,62,,-0.746,-0.584
107,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-184.81399,0.747,635,95,,-0.63,-0.048
107,House,14280,71,29,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-97.60715,0.856,628,43,,-0.441,-0.374
107,House,14620,71,32,CA,100,1,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,,,,,,,
107,House,14644,71,40,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-86.16269,0.873,637,32,,0.338,-0.152
107,House,14649,71,5,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-117.98664,0.839,670,40,,-0.391,-0.213
107,House,14669,71,21,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-110.27284,0.844,652,40,,0.34,-0.412
107,House,14813,71,28,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-99.95691,0.863,678,38,,0.376,-0.201
107,House,14835,71,52,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-108.1439,0.846,648,40,,0.418,0.207
107,House,14837,71,12,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-115.19217,0.837,649,41,,-0.39,-0.237
107,House,15005,71,26,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-110.27255,0.839,629,43,,-0.397,-0.348
107,House,15413,71,23,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-79.33535,0.886,658,32,,0.347,-0.048
107,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-94.72749,0.866,661,36,,0.552,0.101
107,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.179,-100.14202,0.8602,665,41,,-0.492,-0.309
107,House,15601,71,47,CA,200,0,1,"COX, Charles Christopher",C000830,1952,,0.54,-0.236,-89.07669,0.867,626,45,,0.565,-0.36
107,House,15621,71,45,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-145.92015,0.80585,676,69,,0.694,-0.372
107,House,15635,71,18,CA,100,0,1,"CONDIT, Gary Adrian",C000670,1948,,-0.103,0.3,-404.95487,0.53,637,170,,-0.26,0.329
107,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-122.25338,0.833,671,53,,-0.542,-0.605
107,House,20104,71,27,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.352,-0.118,-152.32237,0.79825,676,69,,-0.295,-0.173
107,House,20105,71,31,CA,100,0,1,"SOLIS, Hilda L.",S001153,1957,,-0.508,-0.312,-97.22369,0.864,664,41,,-0.508,-0.35
107,House,20106,71,32,CA,100,2,2,"WATSON, Diane Edith",W000794,1933,,-0.531,-0.351,-101.70823,0.83,545,41,,-0.498,-0.308
107,House,20107,71,48,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.476,0.03,-86.36619,0.87734,660,32,,0.373,-0.107
107,House,20108,71,49,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-130.27023,0.82543,679,58,,-0.329,-0.301
107,House,29104,71,4,CA,200,0,1,"DOOLITTLE, John Taylor",D000429,1950,,0.519,0.156,-85.8398,0.878,658,39,,0.534,0.079
107,House,29105,71,20,CA,100,0,1,"DOOLEY, Calvin M.",D000424,1954,,-0.19,0.103,-220.90401,0.705,633,100,,-0.175,0.026
107,House,29106,71,35,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.656,-0.094,-153.47032,0.7862,638,53,,-0.728,0.192
107,House,29107,71,51,CA,200,0,1,"CUNNINGHAM, Randall (Duke)",C000994,1941,2025.0,0.411,0.001,-89.65937,0.875,669,31,,0.337,0.213
107,House,29309,71,6,CA,100,0,1,"WOOLSEY, Lynn C.",W000738,1937,,-0.556,-0.529,-101.56221,0.859,668,31,,-0.556,-0.652
107,House,29311,71,11,CA,200,0,1,"POMBO, Richard William",P000419,1961,,0.461,0.469,-104.59696,0.855,666,46,,0.521,0.227
107,House,29312,71,14,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.379,-0.372,-132.56927,0.81926,665,49,,-0.389,-0.485
107,House,29313,71,17,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-110.03408,0.85,675,41,,-0.481,-0.439
107,House,29315,71,25,CA,200,0,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-73.02481,0.898,676,23,,0.349,-0.024
107,House,29316,71,30,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-94.13191,0.8606,627,34,,-0.471,-0.345
107,House,29317,71,33,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.469,-0.171,-97.43078,0.86409,667,25,,-0.464,-0.323
107,House,29318,71,36,CA,100,0,1,"HARMAN, Jane L.",H000213,1945,,-0.262,-0.12,-204.08556,0.734,660,84,,-0.257,-0.186
107,House,29320,71,38,CA,200,0,1,"HORN, John Stephen (Steve)",H000789,1931,2011.0,0.167,-0.651,-114.72583,0.843,673,48,,0.173,-0.638
107,House,29321,71,39,CA,200,0,1,"ROYCE, Edward Randall",R000487,1951,,0.657,-0.353,-145.4153,0.80464,669,77,,0.782,-0.239
107,House,29323,71,43,CA,200,0,1,"CALVERT, Ken",C000059,1953,,0.339,0.277,-62.90543,0.91,667,22,,0.346,0.005
107,House,29325,71,50,CA,100,0,1,"FILNER, Bob",F000116,1942,2025.0,-0.652,0.002,-117.271,0.837,661,40,,-0.784,0.184
107,House,29504,71,16,CA,100,0,1,"LOFGREN, Zoe",L000397,1947,,-0.397,-0.402,-154.49367,0.79434,671,68,,-0.394,-0.552
107,House,29505,71,19,CA,200,0,1,"RADANOVICH, George P.",R000004,1955,,0.484,0.18,-97.01554,0.858,635,36,,0.42,0.113
107,House,29586,71,37,CA,100,0,1,"MILLENDER-McDONALD, Juanita",M000714,1938,2007.0,-0.438,-0.16,-93.88176,0.862,634,30,,-0.4,-0.271
107,House,29705,71,10,CA,100,0,1,"TAUSCHER, Ellen O'Kane",T000057,1951,2019.0,-0.308,-0.169,-170.22481,0.778,677,70,,-0.282,-0.181
107,House,29707,71,24,CA,100,0,1,"SHERMAN, Brad",S000344,1954,,-0.344,-0.137,-136.69575,0.81765,679,55,,-0.37,-0.198
107,House,29709,71,46,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-194.36623,0.745,659,85,,-0.395,0.109
107,House,29774,71,22,CA,100,0,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-115.54782,0.843,677,50,,-0.354,-0.247
107,House,29775,71,44,CA,200,0,1,"BONO, Mary",B001228,1961,,0.353,-0.218,-107.13526,0.851,662,44,,0.286,-0.306
107,House,29778,71,9,CA,100,0,1,"LEE, Barbara",L000551,1946,,-0.676,-0.582,-123.76519,0.83292,677,46,,-0.69,-0.724
107,House,29901,71,1,CA,100,0,1,"THOMPSON, Michael",T000460,1951,,-0.392,0.072,-253.02474,0.68077,658,123,,-0.429,0.427
107,House,29902,71,3,CA,200,0,1,"OSE, Doug",O000164,1955,,0.289,-0.316,-131.10145,0.817,649,56,,0.227,-0.315
107,House,29903,71,34,CA,100,0,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.247,-106.07598,0.85194,662,42,,-0.428,-0.235
107,House,29905,71,41,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-73.4646,0.894,657,27,,0.513,-0.032
107,House,29942,71,42,CA,100,0,1,"BACA, Joe",B001234,1947,,-0.349,0.292,-135.25388,0.818,675,48,,-0.333,0.08
107,House,15419,62,5,CO,200,0,1,"HEFLEY, Joel M.",H000444,1935,,0.591,0.13,-329.77468,0.608,662,138,,0.807,0.303
107,House,29326,62,3,CO,200,0,1,"McINNIS, Scott",M000477,1953,,0.391,-0.083,-115.4702,0.833,634,47,,0.462,-0.001
107,House,29710,62,1,CO,100,0,1,"DeGETTE, Diana",D000197,1957,,-0.431,-0.307,-133.2009,0.81699,659,57,,-0.508,-0.511
107,House,29711,62,4,CO,200,0,1,"SCHAFFER, Robert W.",S000112,1962,,0.638,0.77,-253.40855,0.673,640,126,,0.949,0.315
107,House,29906,62,2,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-231.34309,0.708,669,108,,-0.471,0.102
107,House,29907,62,6,CO,200,0,1,"TANCREDO, Thomas G.",T000458,1945,,0.75,-0.022,-127.97999,0.811,611,56,,0.848,-0.262
107,House,15028,1,6,CT,200,0,1,"JOHNSON, Nancy Lee",J000163,1935,,0.122,-0.513,-115.36222,0.84,662,45,,0.153,-0.809
107,House,15449,1,4,CT,200,0,1,"SHAYS, Christopher H.",S001144,1945,,0.129,-0.992,-154.63526,0.794,670,58,,0.244,-0.97
107,House,20109,1,2,CT,200,0,1,"SIMMONS, Robert (Rob)",S001152,1943,,0.171,-0.566,-110.91967,0.848,674,38,,0.188,-0.647
