organization,pacs,honoree,date,amount_usd
"NEXXUS CONSULTING, LLC",,Pete Aguilar,2025-06-24,500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Pete Aguilar,2025-04-01,5000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Pete Aguilar,2025-04-01,2500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Pete Aguilar,2025-02-19,2500.00
"AVOQ, LLC",Dr. Raul Ruiz Democrat for Congress,Rep. Pete Aguilar,2025-04-21,1500.00
"AVOQ, LLC",Dr. Raul Ruiz Democrat for Congress,Reps. Hoyer and Aguilar,2025-04-22,5000.00
"MARSH & MCLENNAN COMPANIES, INC.",Marsh & McLennan Companies PAC,Rep. Pete Aguilar,2025-03-03,2500.00
"RAPISCAN SYSTEMS, INC.",OSI SYSTEMS INC PAC OSI PAC,Rep Pete Aguilar,2025-06-25,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Pete Aguilar,2025-03-03,250.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Aguilar, Pete",2025-03-04,5000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Aguilar, Pete",2025-03-20,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Pete Aguilar,2025-03-11,500.00
STRATEGIC MARKETING INNOVATIONS,COLE PAC - Tom Cole; Narragansett Bay PAC (Jack Reed),Pete Aguilar,2025-03-21,1000.00
NATIONAL ASSOCIATION OF SOCIAL WORKERS,NASW-PACE,Pete Aguilar,2025-05-09,2000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employee PAC,Pete Aguilar,2025-02-25,550.00
CUBIC CORPORATION,Cubic Corporation Employees Political Action Committee,Rep Pete Aguilar,2025-02-21,5000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",AmeriLuv,Hon. Pete Aguilar,2025-04-22,5000.00
"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",Hall Render Killian Heath Lyman Emp. PAC,Congressman Pete Aguilar,2025-05-08,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DSCC,Pete Aguilar,2025-06-25,1000.00
PARAMOUNT GLOBAL,Paramount Global PAC,Rep. Pete Aguilar,2025-02-25,1500.00
