organization,pacs,honoree,date,amount_usd
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Brad Sherman,2025-03-13,1000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Bryan Steil,2025-03-13,2000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Mike Johnson,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Ameriluv 2025,2025-02-25,10000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Steny Hoyer,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),"Rep. Andy Barr, IV",2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),"Rep. Andy Barr, IV",2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Sen. Steve Daines,2025-02-25,2500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Pete Aguilar,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Sean Casten,2025-02-25,1500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Sean Casten,2025-02-25,1500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Johnson Leadership Fund,2025-02-25,32500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Mike Johnson,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Mike Johnson,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),NRCC,2025-02-25,7500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),NRCC (Building Fund),2025-02-25,10000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Pete Aguilar,2025-02-25,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Jodey Arrington,2025-02-25,1000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),"Rep. Troy Carter, Sr.",2025-02-25,2500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Rep. Suzan DelBene,2025-02-18,2500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Equality PAC,2025-02-18,2500.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Sen. Ruben Gallego,2025-02-18,5000.00
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,American Property Casualty Insurance Assoc Federal Only PAC; American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),Sen. Bernie Moreno,2025-02-10,2500.00
